OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
353700,2009,"OVER 110,000",23914
154100,2009,"OVER 110,000",10497
134500,2009,"OVER 110,000",12525
266600,2009,"OVER 110,000",25420
286000,2009,"OVER 110,000",9224
223400,2009,"OVER 110,000",23500
2312000,2009,"OVER 110,000",12850
3115500,2009,"OVER 110,000",15536
154200,2009,"OVER 110,000",23379
887800,2009,"OVER 110,000",40516
396300,2009,"OVER 110,000",15113
758200,2009,"OVER 110,000",12919
2069500,2009,"OVER 110,000",23580
819400,2009,"OVER 110,000",16280
100200,2009,"OVER 110,000",6011
100500,2009,"OVER 110,000",14000
106100,2009,"OVER 110,000",30041
2170200,2009,"OVER 110,000",19260
288500,2009,"OVER 110,000",30446
154400,2009,"OVER 110,000",11996
137400,2009,"OVER 110,000",28937
223500,2009,"OVER 110,000",22855
322900,2009,"OVER 110,000",33363
239600,2009,"OVER 110,000",15642
380600,2009,"OVER 110,000",17750
554400,2009,"OVER 110,000",17857
266800,2009,"OVER 110,000",28730
195100,2009,"OVER 110,000",6005
205700,2009,"OVER 110,000",9014
323000,2009,"OVER 110,000",36730
3069100,2009,"OVER 110,000",25061
190100,2009,"OVER 110,000",8177
341700,2009,"OVER 110,000",13339
223600,2009,"OVER 110,000",20658
223700,2009,"OVER 110,000",5391
323300,2009,"OVER 110,000",26596
383200,2009,"OVER 110,000",19491
1081300,2009,"OVER 110,000",19891
162800,2009,"OVER 110,000",26107
3030802,2009,"OVER 110,000",22500
4060300,2009,"OVER 110,000",25290
2317800,2009,"OVER 110,000",9924
757200,2009,"OVER 110,000",35377
372600,2009,"OVER 110,000",20089
1048900,2009,"OVER 110,000",17536
3819300,2009,"OVER 110,000",13352
143400,2009,"OVER 110,000",42267
2270802,2009,"OVER 110,000",28575
2270800,2009,"OVER 110,000",25212
211500,2009,"OVER 110,000",29203
178400,2009,"OVER 110,000",16716
178500,2009,"OVER 110,000",22028
341800,2009,"OVER 110,000",11087
154500,2009,"OVER 110,000",18747
223800,2009,"OVER 110,000",20541
354100,2009,"OVER 110,000",15187
211700,2009,"OVER 110,000",31335
735000,2009,"OVER 110,000",16406
233200,2009,"OVER 110,000",14931
301005,2009,"OVER 110,000",33267
1289100,2009,"OVER 110,000",22059
743000,2009,"OVER 110,000",38584
754400,2009,"OVER 110,000",14451
290600,2009,"OVER 110,000",13451
347700,2009,"OVER 110,000",20326
134600,2009,"OVER 110,000",12699
323500,2009,"OVER 110,000",25631
2179900,2009,"OVER 110,000",38852
3125400,2009,"OVER 110,000",37203
1647100,2009,"OVER 110,000",44125
723600,2009,"OVER 110,000",38010
723603,2009,"OVER 110,000",33494
2327600,2009,"OVER 110,000",35557
723602,2009,"OVER 110,000",34144
