OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
3064900,2010,"0 TO 30,000",15120
3065100,2010,"0 TO 30,000",11880
3783400,2010,"0 TO 30,000",20124
353700,2010,"0 TO 30,000",20156
154100,2010,"0 TO 30,000",5722
3122500,2010,"0 TO 30,000",11412
2050300,2010,"0 TO 30,000",25171
4104300,2010,"0 TO 30,000",19296
3346300,2010,"0 TO 30,000",28230
753100,2010,"0 TO 30,000",28951
4126900,2010,"0 TO 30,000",9648
1290500,2010,"0 TO 30,000",12144
2499000,2010,"0 TO 30,000",25224
4118600,2010,"0 TO 30,000",19318
2621300,2010,"0 TO 30,000",11205
4132400,2010,"0 TO 30,000",16744
3277300,2010,"0 TO 30,000",6480
2244300,2010,"0 TO 30,000",12825
2244303,2010,"0 TO 30,000",11100
3276301,2010,"0 TO 30,000",7896
3276300,2010,"0 TO 30,000",8172
4144400,2010,"0 TO 30,000",20844
2235900,2010,"0 TO 30,000",12456
1050700,2010,"0 TO 30,000",22440
4037500,2010,"0 TO 30,000",18096
2552400,2010,"0 TO 30,000",27096
4093300,2010,"0 TO 30,000",25860
3113400,2010,"0 TO 30,000",15900
1074100,2010,"0 TO 30,000",20064
134500,2010,"0 TO 30,000",8486
266600,2010,"0 TO 30,000",20490
3103700,2010,"0 TO 30,000",17262
286000,2010,"0 TO 30,000",2430
223400,2010,"0 TO 30,000",23102
2520400,2010,"0 TO 30,000",24516
812900,2010,"0 TO 30,000",19812
2312000,2010,"0 TO 30,000",17420
3736300,2010,"0 TO 30,000",13672
3757300,2010,"0 TO 30,000",27804
3412300,2010,"0 TO 30,000",15106
3786300,2010,"0 TO 30,000",33540
1148400,2010,"0 TO 30,000",17592
2293600,2010,"0 TO 30,000",12630
3127500,2010,"0 TO 30,000",15915
3532400,2010,"0 TO 30,000",10665
4146900,2010,"0 TO 30,000",17064
3115500,2010,"0 TO 30,000",15666
2553000,2010,"0 TO 30,000",32336
3097200,2010,"0 TO 30,000",17988
154200,2010,"0 TO 30,000",13783
887800,2010,"0 TO 30,000",24750
396300,2010,"0 TO 30,000",8058
1005600,2010,"0 TO 30,000",5455
3066700,2010,"0 TO 30,000",12276
758200,2010,"0 TO 30,000",7813
2069500,2010,"0 TO 30,000",18274
819400,2010,"0 TO 30,000",15440
100200,2010,"0 TO 30,000",7015
103400,2010,"0 TO 30,000",3310
3032500,2010,"0 TO 30,000",4248
100500,2010,"0 TO 30,000",2968
546300,2010,"0 TO 30,000",6142
2541000,2010,"0 TO 30,000",12571
4138600,2010,"0 TO 30,000",7342
106100,2010,"0 TO 30,000",17185
2170200,2010,"0 TO 30,000",15984
288500,2010,"0 TO 30,000",19354
154400,2010,"0 TO 30,000",6617
560100,2010,"0 TO 30,000",1664
137400,2010,"0 TO 30,000",22230
223500,2010,"0 TO 30,000",14867
322900,2010,"0 TO 30,000",15140
239600,2010,"0 TO 30,000",8823
380600,2010,"0 TO 30,000",11430
3538300,2010,"0 TO 30,000",15950
554400,2010,"0 TO 30,000",12444
266800,2010,"0 TO 30,000",13241
2282300,2010,"0 TO 30,000",11648
195100,2010,"0 TO 30,000",4624
2495500,2010,"0 TO 30,000",15624
3493300,2010,"0 TO 30,000",17298
111100,2010,"0 TO 30,000",3614
205700,2010,"0 TO 30,000",5808
323000,2010,"0 TO 30,000",15848
3457300,2010,"0 TO 30,000",6472
3069100,2010,"0 TO 30,000",6635
190100,2010,"0 TO 30,000",3561
3358301,2010,"0 TO 30,000",24300
3358300,2010,"0 TO 30,000",25632
341700,2010,"0 TO 30,000",11768
223600,2010,"0 TO 30,000",13488
223700,2010,"0 TO 30,000",403
2290400,2010,"0 TO 30,000",6276
323300,2010,"0 TO 30,000",21024
383200,2010,"0 TO 30,000",14111
353900,2010,"0 TO 30,000",3355
3414500,2010,"0 TO 30,000",18279
354000,2010,"0 TO 30,000",4461
1081300,2010,"0 TO 30,000",15250
162800,2010,"0 TO 30,000",19436
2106900,2010,"0 TO 30,000",24039
746500,2010,"0 TO 30,000",22735
3491400,2010,"0 TO 30,000",19410
1046000,2010,"0 TO 30,000",13080
1307400,2010,"0 TO 30,000",10728
3903400,2010,"0 TO 30,000",9711
3030802,2010,"0 TO 30,000",19850
3030800,2010,"0 TO 30,000",19410
2241801,2010,"0 TO 30,000",41888
2241800,2010,"0 TO 30,000",18585
3359300,2010,"0 TO 30,000",33584
3971300,2010,"0 TO 30,000",19566
2309100,2010,"0 TO 30,000",19584
765800,2010,"0 TO 30,000",25396
3144400,2010,"0 TO 30,000",18291
2303800,2010,"0 TO 30,000",6088
2289000,2010,"0 TO 30,000",23436
2199900,2010,"0 TO 30,000",13131
2514100,2010,"0 TO 30,000",11088
3534400,2010,"0 TO 30,000",33980
4016500,2010,"0 TO 30,000",19704
3962300,2010,"0 TO 30,000",9432
4136400,2010,"0 TO 30,000",33432
2317800,2010,"0 TO 30,000",8220
2106601,2010,"0 TO 30,000",19404
3706300,2010,"0 TO 30,000",25932
2106600,2010,"0 TO 30,000",19052
2113600,2010,"0 TO 30,000",15957
2113610,2010,"0 TO 30,000",16864
211400,2010,"0 TO 30,000",16408
274100,2010,"0 TO 30,000",32436
757200,2010,"0 TO 30,000",26445
372600,2010,"0 TO 30,000",14941
-2,2010,"0 TO 30,000",14435
372601,2010,"0 TO 30,000",11244
-2,2010,"0 TO 30,000",14386
1048900,2010,"0 TO 30,000",14667
-2,2010,"0 TO 30,000",14902
3819300,2010,"0 TO 30,000",9573
123200,2010,"0 TO 30,000",5450
2601000,2010,"0 TO 30,000",11120
2311200,2010,"0 TO 30,000",20130
143400,2010,"0 TO 30,000",21321
3225300,2010,"0 TO 30,000",29988
1194101,2010,"0 TO 30,000",7946
1194100,2010,"0 TO 30,000",8089
2270802,2010,"0 TO 30,000",20838
2270800,2010,"0 TO 30,000",20579
211500,2010,"0 TO 30,000",1173
2503400,2010,"0 TO 30,000",16369
178400,2010,"0 TO 30,000",11585
178500,2010,"0 TO 30,000",17794
341800,2010,"0 TO 30,000",13912
154500,2010,"0 TO 30,000",12781
223800,2010,"0 TO 30,000",13935
666100,2010,"0 TO 30,000",5219
354100,2010,"0 TO 30,000",8449
211700,2010,"0 TO 30,000",17708
205800,2010,"0 TO 30,000",11078
735000,2010,"0 TO 30,000",12748
233200,2010,"0 TO 30,000",9932
111300,2010,"0 TO 30,000",6566
2234900,2010,"0 TO 30,000",11130
301005,2010,"0 TO 30,000",32114
1289100,2010,"0 TO 30,000",17679
1289102,2010,"0 TO 30,000",18878
1289101,2010,"0 TO 30,000",20133
743000,2010,"0 TO 30,000",30045
3067000,2010,"0 TO 30,000",18378
961200,2010,"0 TO 30,000",5184
3513400,2010,"0 TO 30,000",7342
751800,2010,"0 TO 30,000",17820
2562300,2010,"0 TO 30,000",8530
2159100,2010,"0 TO 30,000",5320
754400,2010,"0 TO 30,000",11575
290600,2010,"0 TO 30,000",5528
3068600,2010,"0 TO 30,000",25656
223900,2010,"0 TO 30,000",10250
347700,2010,"0 TO 30,000",16218
134600,2010,"0 TO 30,000",7664
323500,2010,"0 TO 30,000",19604
2179902,2010,"0 TO 30,000",29140
2179900,2010,"0 TO 30,000",26314
2179919,2010,"0 TO 30,000",28972
2179905,2010,"0 TO 30,000",28223
2179932,2010,"0 TO 30,000",23954
2179928,2010,"0 TO 30,000",26634
2179914,2010,"0 TO 30,000",27151
2179916,2010,"0 TO 30,000",29887
2179907,2010,"0 TO 30,000",28804
2179907,2010,"0 TO 30,000",25014
2179935,2010,"0 TO 30,000",27689
2179929,2010,"0 TO 30,000",25894
2179908,2010,"0 TO 30,000",26524
2179918,2010,"0 TO 30,000",30643
2179921,2010,"0 TO 30,000",27981
2179913,2010,"0 TO 30,000",28972
2179909,2010,"0 TO 30,000",27992
3125400,2010,"0 TO 30,000",31134
1647100,2010,"0 TO 30,000",25147
723600,2010,"0 TO 30,000",24359
723603,2010,"0 TO 30,000",21112
2327600,2010,"0 TO 30,000",18073
723602,2010,"0 TO 30,000",23548
3125401,2010,"0 TO 30,000",24609
2179901,2010,"0 TO 30,000",19672
2179903,2010,"0 TO 30,000",23359
972300,2010,"0 TO 30,000",14601
886400,2010,"0 TO 30,000",18000
1180200,2010,"0 TO 30,000",19708
1084700,2010,"0 TO 30,000",34905
711300,2010,"0 TO 30,000",12350
3115000,2010,"0 TO 30,000",19104
4120900,2010,"0 TO 30,000",32675
108100,2010,"0 TO 30,000",4529
107100,2010,"0 TO 30,000",7750
