OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
3783400,2010,"75,001 TO 110,000",21606
353700,2010,"75,001 TO 110,000",22856
154100,2010,"75,001 TO 110,000",10638
2050300,2010,"75,001 TO 110,000",31125
4104300,2010,"75,001 TO 110,000",19908
753100,2010,"75,001 TO 110,000",33106
2499000,2010,"75,001 TO 110,000",29892
4144400,2010,"75,001 TO 110,000",23850
1050700,2010,"75,001 TO 110,000",25815
4093300,2010,"75,001 TO 110,000",29160
134500,2010,"75,001 TO 110,000",12908
266600,2010,"75,001 TO 110,000",25457
286000,2010,"75,001 TO 110,000",8750
223400,2010,"75,001 TO 110,000",29383
1148400,2010,"75,001 TO 110,000",25404
4146900,2010,"75,001 TO 110,000",20694
3115500,2010,"75,001 TO 110,000",19481
2553000,2010,"75,001 TO 110,000",35473
154200,2010,"75,001 TO 110,000",20344
887800,2010,"75,001 TO 110,000",29818
396300,2010,"75,001 TO 110,000",15032
1005600,2010,"75,001 TO 110,000",1225
758200,2010,"75,001 TO 110,000",13595
2069500,2010,"75,001 TO 110,000",24196
819400,2010,"75,001 TO 110,000",16850
100200,2010,"75,001 TO 110,000",12757
100500,2010,"75,001 TO 110,000",8904
2541000,2010,"75,001 TO 110,000",13507
106100,2010,"75,001 TO 110,000",24622
2170200,2010,"75,001 TO 110,000",22380
288500,2010,"75,001 TO 110,000",30573
154400,2010,"75,001 TO 110,000",12594
560100,2010,"75,001 TO 110,000",6490
137400,2010,"75,001 TO 110,000",23165
223500,2010,"75,001 TO 110,000",20898
322900,2010,"75,001 TO 110,000",25276
239600,2010,"75,001 TO 110,000",12708
380600,2010,"75,001 TO 110,000",17213
3538300,2010,"75,001 TO 110,000",19657
554400,2010,"75,001 TO 110,000",17443
266800,2010,"75,001 TO 110,000",24795
205700,2010,"75,001 TO 110,000",8467
323000,2010,"75,001 TO 110,000",25886
3457300,2010,"75,001 TO 110,000",9051
190100,2010,"75,001 TO 110,000",7621
341700,2010,"75,001 TO 110,000",16598
223600,2010,"75,001 TO 110,000",19024
223700,2010,"75,001 TO 110,000",4973
2290400,2010,"75,001 TO 110,000",10020
323300,2010,"75,001 TO 110,000",26476
383200,2010,"75,001 TO 110,000",17759
162800,2010,"75,001 TO 110,000",27983
2106900,2010,"75,001 TO 110,000",30952
746500,2010,"75,001 TO 110,000",30675
3030802,2010,"75,001 TO 110,000",23260
3030800,2010,"75,001 TO 110,000",23880
2241801,2010,"75,001 TO 110,000",47936
2241800,2010,"75,001 TO 110,000",22455
3359300,2010,"75,001 TO 110,000",39104
3971300,2010,"75,001 TO 110,000",22932
2289000,2010,"75,001 TO 110,000",28784
4136400,2010,"75,001 TO 110,000",39504
2317800,2010,"75,001 TO 110,000",8760
2106601,2010,"75,001 TO 110,000",22913
3706300,2010,"75,001 TO 110,000",31104
2106600,2010,"75,001 TO 110,000",24684
2113600,2010,"75,001 TO 110,000",11848
2113610,2010,"75,001 TO 110,000",22668
211400,2010,"75,001 TO 110,000",20324
274100,2010,"75,001 TO 110,000",38569
757200,2010,"75,001 TO 110,000",34668
372600,2010,"75,001 TO 110,000",18849
1048900,2010,"75,001 TO 110,000",17836
3819300,2010,"75,001 TO 110,000",13250
2601000,2010,"75,001 TO 110,000",14000
143400,2010,"75,001 TO 110,000",32433
1194100,2010,"75,001 TO 110,000",12195
2270802,2010,"75,001 TO 110,000",30601
2270800,2010,"75,001 TO 110,000",24622
211500,2010,"75,001 TO 110,000",14674
178400,2010,"75,001 TO 110,000",19136
178500,2010,"75,001 TO 110,000",22237
341800,2010,"75,001 TO 110,000",18177
154500,2010,"75,001 TO 110,000",17959
223800,2010,"75,001 TO 110,000",20192
666100,2010,"75,001 TO 110,000",6885
354100,2010,"75,001 TO 110,000",14989
211700,2010,"75,001 TO 110,000",24648
205800,2010,"75,001 TO 110,000",15890
735000,2010,"75,001 TO 110,000",17316
233200,2010,"75,001 TO 110,000",14549
301005,2010,"75,001 TO 110,000",33814
743000,2010,"75,001 TO 110,000",38688
3067000,2010,"75,001 TO 110,000",21096
751800,2010,"75,001 TO 110,000",19660
754400,2010,"75,001 TO 110,000",18562
290600,2010,"75,001 TO 110,000",13683
223900,2010,"75,001 TO 110,000",7979
347700,2010,"75,001 TO 110,000",21026
134600,2010,"75,001 TO 110,000",12694
323500,2010,"75,001 TO 110,000",23645
2179902,2010,"75,001 TO 110,000",32387
2179905,2010,"75,001 TO 110,000",17932
2179916,2010,"75,001 TO 110,000",32476
2179907,2010,"75,001 TO 110,000",30467
2179908,2010,"75,001 TO 110,000",11016
2179921,2010,"75,001 TO 110,000",31922
3125400,2010,"75,001 TO 110,000",36102
1647100,2010,"75,001 TO 110,000",30786
723600,2010,"75,001 TO 110,000",32147
723603,2010,"75,001 TO 110,000",29096
2327600,2010,"75,001 TO 110,000",26856
723602,2010,"75,001 TO 110,000",31960
3125401,2010,"75,001 TO 110,000",27040
2179901,2010,"75,001 TO 110,000",24204
2179903,2010,"75,001 TO 110,000",21422
1084700,2010,"75,001 TO 110,000",40495
711300,2010,"75,001 TO 110,000",17170
3115000,2010,"75,001 TO 110,000",21378
4120900,2010,"75,001 TO 110,000",37367
108100,2010,"75,001 TO 110,000",13665
1286000,2010,"75,001 TO 110,000",10517
109100,2010,"75,001 TO 110,000",8896
109000,2010,"75,001 TO 110,000",14924
109003,2010,"75,001 TO 110,000",12294
109002,2010,"75,001 TO 110,000",6590
108900,2010,"75,001 TO 110,000",10563
154600,2010,"75,001 TO 110,000",16192
643500,2010,"75,001 TO 110,000",42912
301100,2010,"75,001 TO 110,000",19349
111600,2010,"75,001 TO 110,000",39815
3095500,2010,"75,001 TO 110,000",25191
195200,2010,"75,001 TO 110,000",23875
188100,2010,"75,001 TO 110,000",20902
199000,2010,"75,001 TO 110,000",9488
301200,2010,"75,001 TO 110,000",22617
2187900,2010,"75,001 TO 110,000",21000
1115000,2010,"75,001 TO 110,000",6596
211800,2010,"75,001 TO 110,000",36418
1216500,2010,"75,001 TO 110,000",12247
259600,2010,"75,001 TO 110,000",11309
2505400,2010,"75,001 TO 110,000",9135
3468500,2010,"75,001 TO 110,000",28782
100900,2010,"75,001 TO 110,000",16452
831000,2010,"75,001 TO 110,000",11759
233400,2010,"75,001 TO 110,000",30645
163300,2010,"75,001 TO 110,000",24118
345800,2010,"75,001 TO 110,000",19581
3776300,2010,"75,001 TO 110,000",34374
648700,2010,"75,001 TO 110,000",21383
163400,2010,"75,001 TO 110,000",18773
354300,2010,"75,001 TO 110,000",19921
1201500,2010,"75,001 TO 110,000",11621
347800,2010,"75,001 TO 110,000",13595
737200,2010,"75,001 TO 110,000",16296
1162100,2010,"75,001 TO 110,000",47557
1162101,2010,"75,001 TO 110,000",47291
1085800,2010,"75,001 TO 110,000",30876
3941300,2010,"75,001 TO 110,000",19789
4140700,2010,"75,001 TO 110,000",31867
4141000,2010,"75,001 TO 110,000",28500
4137800,2010,"75,001 TO 110,000",32010
4072300,2010,"75,001 TO 110,000",15640
370200,2010,"75,001 TO 110,000",20107
3110700,2010,"75,001 TO 110,000",20894
3986300,2010,"75,001 TO 110,000",49374
244900,2010,"75,001 TO 110,000",17913
826300,2010,"75,001 TO 110,000",20616
111700,2010,"75,001 TO 110,000",28783
212100,2010,"75,001 TO 110,000",30272
314700,2010,"75,001 TO 110,000",16058
1107400,2010,"75,001 TO 110,000",4625
4081300,2010,"75,001 TO 110,000",7575
467300,2010,"75,001 TO 110,000",15524
467313,2010,"75,001 TO 110,000",19828
467317,2010,"75,001 TO 110,000",15359
467305,2010,"75,001 TO 110,000",15793
467301,2010,"75,001 TO 110,000",17998
467302,2010,"75,001 TO 110,000",14858
467309,2010,"75,001 TO 110,000",17038
467303,2010,"75,001 TO 110,000",16709
467304,2010,"75,001 TO 110,000",16055
467306,2010,"75,001 TO 110,000",16295
190300,2010,"75,001 TO 110,000",21750
301400,2010,"75,001 TO 110,000",21787
178600,2010,"75,001 TO 110,000",17989
206100,2010,"75,001 TO 110,000",7890
3296300,2010,"75,001 TO 110,000",17192
2337400,2010,"75,001 TO 110,000",28353
1320800,2010,"75,001 TO 110,000",13976
3105200,2010,"75,001 TO 110,000",19279
660600,2010,"75,001 TO 110,000",15197
3440300,2010,"75,001 TO 110,000",17824
267100,2010,"75,001 TO 110,000",28381
964500,2010,"75,001 TO 110,000",31742
270800,2010,"75,001 TO 110,000",28992
290800,2010,"75,001 TO 110,000",25248
460800,2010,"75,001 TO 110,000",9940
203600,2010,"75,001 TO 110,000",24130
530600,2010,"75,001 TO 110,000",12197
3730300,2010,"75,001 TO 110,000",8635
2335701,2010,"75,001 TO 110,000",20409
2335702,2010,"75,001 TO 110,000",8230
1157400,2010,"75,001 TO 110,000",31560
224000,2010,"75,001 TO 110,000",8524
3066600,2010,"75,001 TO 110,000",2571
212200,2010,"75,001 TO 110,000",20611
396500,2010,"75,001 TO 110,000",23563
2338200,2010,"75,001 TO 110,000",42081
354500,2010,"75,001 TO 110,000",26690
520400,2010,"75,001 TO 110,000",15864
855800,2010,"75,001 TO 110,000",8054
3999300,2010,"75,001 TO 110,000",43264
2504900,2010,"75,001 TO 110,000",28686
739100,2010,"75,001 TO 110,000",21712
2283805,2010,"75,001 TO 110,000",27708
2283801,2010,"75,001 TO 110,000",26208
1191900,2010,"75,001 TO 110,000",30875
212300,2010,"75,001 TO 110,000",29169
2491100,2010,"75,001 TO 110,000",26202
1267000,2010,"75,001 TO 110,000",21756
644800,2010,"75,001 TO 110,000",10297
239700,2010,"75,001 TO 110,000",22585
195400,2010,"75,001 TO 110,000",20426
3804300,2010,"75,001 TO 110,000",25650
291000,2010,"75,001 TO 110,000",22487
994100,2010,"75,001 TO 110,000",14080
347900,2010,"75,001 TO 110,000",26138
383500,2010,"75,001 TO 110,000",20515
233600,2010,"75,001 TO 110,000",16312
342000,2010,"75,001 TO 110,000",21819
1025600,2010,"75,001 TO 110,000",21442
176700,2010,"75,001 TO 110,000",25711
215100,2010,"75,001 TO 110,000",14467
291100,2010,"75,001 TO 110,000",25186
