OPEID,CohortYear,NumDefault,NumBorrowers,DefaultRate,RateType
41176,2011,0,0,0.0,A
41480,2011,59,182,32.4,A
36803,2011,37,91,40.6,A
22429,2011,19,43,44.1,A
2934,2011,0,0,0.0,A
24948,2011,9,40,22.5,A
30199,2011,8,46,17.3,A
5363,2011,99,395,25.0,A
12948,2011,25,104,24.0,A
20533,2011,22,78,28.2,A
41746,2011,0,0,0.0,A
39303,2011,7,56,12.5,B
4927,2011,48,174,27.5,A
36114,2011,162,350,46.2,A
41489,2011,2,8,25.0,B
20568,2011,151,586,25.7,A
30649,2011,18,41,43.9,A
38763,2011,5,18,27.7,B
3762,2011,19,102,18.6,A
38233,2011,3,4,75.0,B
39644,2011,24,109,22.0,A
13008,2011,29,91,31.8,B
21816,2011,53,205,25.8,A
25307,2011,9,31,29.0,A
7447,2011,14,64,21.8,A
41690,2011,4,29,13.7,B
40453,2011,2,10,20.0,B
23394,2011,12,62,19.3,B
1038,2011,0,0,0.0,A
41821,2011,0,0,0.0,A
11672,2011,13,88,14.7,A
23513,2011,13,48,27.0,B
8612,2011,0,0,0.0,A
21760,2011,15,51,29.4,A
4835,2011,155,536,28.9,A
5256,2011,0,0,0.0,P
41634,2011,4,13,30.7,B
41669,2011,1,5,20.0,B
41545,2011,0,0,0.0,A
1998,2011,99,358,27.6,P
10826,2011,11,38,28.9,B
9646,2011,0,1,0.0,B
30104,2011,270,711,37.9,A
3628,2011,0,0,0.0,A
10554,2011,56,209,26.7,A
30178,2011,23,58,39.6,A
37593,2011,8,59,13.5,A
9231,2011,26,88,29.5,A
41847,2011,1,2,50.0,B
25535,2011,37,202,18.3,A
41976,2011,0,0,0.0,A
25686,2011,1,6,16.6,B
41931,2011,0,0,0.0,A
8085,2011,0,0,0.0,A
36074,2011,12,36,33.3,B
41186,2011,24,102,23.5,B
9535,2011,5,30,16.6,A
6960,2011,251,872,28.7,P
21466,2011,79,277,28.5,A
1990,2011,216,770,28.0,P
41438,2011,43,223,19.2,B
1615,2011,158,600,26.3,A
41710,2011,6,29,20.6,B
25488,2011,460,1434,32.0,A
41772,2011,0,0,0.0,A
25950,2011,9,47,19.1,A
37833,2011,27,127,21.2,A
11197,2011,0,0,0.0,A
3026,2011,172,855,20.1,A
21088,2011,36,164,21.9,A
5273,2011,377,1185,31.8,P
2982,2011,115,288,39.9,A
21487,2011,14,73,19.1,B
41848,2011,0,0,0.0,A
39123,2011,18,54,33.3,B
3669,2011,115,453,25.3,A
21975,2011,33,101,32.6,B
41452,2011,13,42,30.9,A
5271,2011,264,847,31.1,P
6962,2011,146,526,27.7,P
3417,2011,116,364,31.8,A
9430,2011,0,0,0.0,A
7687,2011,43,157,27.3,A
41174,2011,153,553,27.6,A
22463,2011,31,224,13.8,A
10695,2011,8,42,19.0,B
21719,2011,8,56,14.2,B
23068,2011,230,1406,16.3,A
2943,2011,121,413,29.2,A
1209,2011,20,69,28.9,A
1104,2011,20,113,17.6,A
40144,2011,29,104,27.8,A
21395,2011,12,60,20.0,A
12525,2011,257,867,29.6,A
11074,2011,290,1021,28.4,A
5258,2011,45,188,23.9,P
2980,2011,11,73,15.0,A
10264,2011,47,243,19.3,A
11596,2011,7,36,19.4,A
4024,2011,0,0,0.0,P
36273,2011,225,645,34.8,A
3638,2011,88,374,23.5,A
35424,2011,20,118,16.9,A
4742,2011,1326,4170,31.7,A
2466,2011,217,732,29.6,A
1078,2011,291,1408,20.6,A
40385,2011,337,916,36.7,A
7518,2011,249,1567,15.8,A
1993,2011,58,257,22.5,A
7986,2011,114,288,39.5,A
26002,2011,77,414,18.5,A
8278,2011,316,945,33.4,A
3779,2011,58,211,27.4,A
6949,2011,978,3054,32.0,A
1202,2011,43,158,27.2,A
7987,2011,0,0,0.0,A
3186,2011,124,440,28.1,A
1178,2011,76,317,23.9,A
9082,2011,71,464,15.3,A
38303,2011,17,112,15.1,A
21464,2011,11,32,34.3,A
4923,2011,19,66,28.7,A
41326,2011,25,88,28.4,B
1997,2011,579,1945,29.7,P
31133,2011,35,155,22.5,A
31291,2011,93,406,22.9,A
2942,2011,98,384,25.5,A
31505,2011,11,35,31.4,A
30050,2011,5,38,13.1,A
5389,2011,390,1627,23.9,P
1996,2011,199,683,29.1,P
25869,2011,78,597,13.0,A
3317,2011,148,549,26.9,A
9313,2011,423,1777,23.8,A
41409,2011,29,104,27.8,A
1499,2011,6155,28543,21.5,P
5533,2011,564,2058,27.4,A
4713,2011,125,573,21.8,A
36124,2011,116,349,33.2,A
32833,2011,5,47,10.6,A
22708,2011,25,222,11.2,A
21283,2011,322,1117,28.8,A
30675,2011,801,2972,26.9,A
3618,2011,18,73,24.6,A
30651,2011,8,45,17.7,A
40283,2011,8,31,25.8,A
21040,2011,316,2065,15.3,P
1979,2011,138,615,22.4,P
39325,2011,29,115,25.2,A
1614,2011,17,80,21.2,A
31285,2011,9,57,15.7,A
10881,2011,1447,4856,29.7,A
