OPEID,DisbursementYear,NumReceivingFedLoan,PercentReceivingFedLoan,TotalFedLoanAid,AvgFedLoanAid
4149500,2011,33,100,214500,6500
3064900,2011,62,74,142113,2292
3065100,2011,83,89,350633,4224
3783400,2011,159,85,739646,4652
353700,2011,2219,58,26071391,11749
154100,2011,1407,43,7481334,5317
2050300,2011,191,81,1687026,8833
4104300,2011,70,95,404500,5779
3346300,2011,512,61,3074762,6005
753100,2011,7359,60,55171015,7497
4126900,2011,141,81,530000,3759
2499000,2011,215,82,1075050,5000
4118600,2011,73,79,506701,6941
2621300,2011,15,31,77491,5166
4156000,2011,96,54,657291,6847
4132400,2011,40,61,117065,2927
3277300,2011,15,18,8550,570
2244300,2011,4,8,6772,1693
2244303,2011,4,2,4384,1096
3276301,2011,6,10,5200,867
1323200,2011,126,47,794675,6307
3276300,2011,15,10,8550,570
4144400,2011,30,27,121798,4060
2235900,2011,15,16,25680,1712
1050700,2011,78,82,571932,7332
4037500,2011,105,56,683653,6511
2552400,2011,106,51,470617,4440
4130700,2011,62,84,328719,5302
4093300,2011,97,99,526434,5427
3113400,2011,120,55,730918,6091
1074100,2011,79,75,577088,7305
4043300,2011,25,35,110902,4436
134500,2011,1630,65,10544298,6469
266600,2011,3824,77,28464735,7444
3103700,2011,21,47,158432,7544
286000,2011,1131,27,5907844,5224
223400,2011,1264,77,8418778,6660
2520400,2011,105,44,677928,6456
812900,2011,128,93,1143841,8936
2312000,2011,82,50,256372,3126
3757300,2011,50,26,475000,9500
3786300,2011,271,89,1913401,7061
1148400,2011,80,57,579276,7241
3127500,2011,588,57,5419660,9217
3532400,2011,28,25,168000,6000
4146900,2011,40,85,271132,6778
3115500,2011,1401,51,9920615,7081
2553000,2011,111,96,622340,5607
3097200,2011,22,29,91786,4172
154200,2011,528,59,3631777,6878
887800,2011,3331,82,30740677,9229
396300,2011,802,86,4811371,5999
4158100,2011,46,94,177605,3861
3066700,2011,35,46,190197,5434
758200,2011,1728,32,8127405,4703
962105,2011,705,82,6103351,8657
819400,2011,51,66,312500,6127
100200,2011,3904,79,29047424,7440
100500,2011,3756,77,33203190,8840
884300,2011,2,2,4461,2231
2541000,2011,417,87,2438449,5848
4138600,2011,9,25,24205,2689
106100,2011,281,54,2182425,7767
2170200,2011,142,78,949800,6689
288500,2011,680,60,5332747,7842
154400,2011,3591,86,24878659,6928
560100,2011,2333,52,11944422,5120
137400,2011,1118,71,10113976,9046
223500,2011,940,59,6915722,7357
322900,2011,1746,75,17716546,10147
239600,2011,2545,85,20735367,8147
380600,2011,445,79,3386239,7610
3538300,2011,53,55,350617,6615
554400,2011,1083,40,6901730,6373
266800,2011,1641,86,11577223,7055
2282300,2011,7,2,22414,3202
195100,2011,337,56,1392080,4131
4174200,2011,42,82,258033,6144
2495500,2011,748,91,4707626,6294
3072400,2011,253,44,1809072,7150
3493300,2011,2566,88,16218129,6320
111100,2011,168,1,1052270,6264
205700,2011,1383,34,4972139,3595
323000,2011,1417,66,10015255,7068
3457300,2011,1,2,2250,2250
3069100,2011,270,83,2165149,8019
190100,2011,1011,35,3449878,3412
3358301,2011,760,66,6765698,8902
3358300,2011,672,66,6031469,8975
341700,2011,736,87,5475982,7440
1111700,2011,89,54,931876,10471
223600,2011,1053,74,7936251,7537
223700,2011,683,33,2700751,3954
2290400,2011,97,56,337493,3479
323300,2011,1309,62,13397200,10235
383200,2011,2097,90,16126719,7690
353900,2011,478,8,1650692,3453
3414500,2011,30,73,264071,8802
354000,2011,2035,17,10526334,5173
4124700,2011,125,39,714837,5719
1081300,2011,166,43,393711,2372
162800,2011,407,86,2810157,6905
4151500,2011,94,92,788264,8386
2106900,2011,53,28,363006,6849
746500,2011,171,73,1947799,11391
3491400,2011,161,53,771633,4793
1046000,2011,45,58,179151,3981
4169900,2011,39,51,253967,6512
1307400,2011,3,5,3576,1192
3903400,2011,280,74,660085,2357
3030802,2011,68,91,322008,4735
3030800,2011,52,84,230223,4427
4118700,2011,26,6,62091,2388
2241801,2011,2044,58,9549600,4672
2241800,2011,1992,54,8735488,4385
3359300,2011,156,41,1293363,8291
3971300,2011,1765,61,7861429,4454
2309100,2011,33,40,100966,3060
765800,2011,38,81,331299,8718
3144400,2011,515,69,4651347,9032
2099200,2011,1,100,9500,9500
2289000,2011,45,76,338744,7528
2199900,2011,36,38,180630,5018
3534400,2011,150,69,1776371,11842
4016500,2011,172,95,1561694,9080
4148700,2011,11,39,73649,6695
3962300,2011,19,44,87247,4592
4136400,2011,136,40,727143,5347
4060300,2011,107,99,624998,5841
2317800,2011,1491,89,8288514,5559
2106601,2011,789,79,8009790,10152
3706300,2011,345,92,3556356,10308
2106600,2011,518,77,4881326,9423
2113600,2011,1816,93,11397360,6276
2113610,2011,401,87,2690094,6708
211400,2011,1496,84,13872735,9273
274100,2011,58,44,60000,1034
757200,2011,890,75,6950059,7809
372600,2011,3607,79,36013048,9984
-2,2011,346,91,3952420,11423
372601,2011,106,80,1072955,10122
-2,2011,263,71,2768597,10527
1048900,2011,2020,84,20824850,10309
-2,2011,486,86,4941301,10167
3819300,2011,5122,17,42401199,8278
123200,2011,2744,8,18245854,6649
2601000,2011,30,27,154121,5137
2311200,2011,417,64,2429345,5826
143400,2011,3348,47,22725184,6788
3225300,2011,113,100,1169185,10347
1194101,2011,80,7,230020,2875
1194100,2011,55,4,164261,2987
2270802,2011,266,77,3031345,11396
2270800,2011,110,85,873461,7941
211500,2011,313,17,1582324,5055
2503400,2011,261,74,1731568,6634
178400,2011,471,81,3130188,6646
178500,2011,1489,74,12741959,8557
341800,2011,1355,59,10145167,7487
154500,2011,209,77,1205947,5770
223800,2011,1136,59,10291592,9060
4160400,2011,109,61,913586,8382
4164400,2011,132,90,1235385,9359
354100,2011,3418,57,20741150,6068
211700,2011,861,78,5846746,6791
205800,2011,2989,17,17278509,5781
735000,2011,1302,50,9187738,7057
233200,2011,3773,40,24159667,6403
111300,2011,2588,18,17323304,6694
301002,2011,126,71,509842,4046
301000,2011,92,58,233730,2541
301003,2011,121,89,1253680,10361
301005,2011,174,67,1582534,9095
1289100,2011,280,84,2884382,10301
1289102,2011,321,76,2958870,9218
1289101,2011,564,82,2509800,4450
743000,2011,165,81,1141229,6917
3067000,2011,76,40,301650,3969
961200,2011,9,41,85086,9454
3513400,2011,334,93,1109447,3322
751800,2011,2048,67,12922793,6310
754400,2011,86,28,436910,5080
290600,2011,6666,44,40360990,6055
3068600,2011,188,93,1662699,8844
223900,2011,1358,70,10802302,7955
347700,2011,535,71,4525776,8459
134600,2011,4209,42,17011707,4042
323500,2011,1830,84,18540890,10132
2179902,2011,297,56,2807217,9452
2179900,2011,246,87,2220005,9024
2179919,2011,151,87,1422929,9423
2179905,2011,88,86,831905,9453
2179932,2011,235,84,2240697,9535
2179928,2011,120,79,1175526,9796
2179914,2011,92,84,885700,9627
2179916,2011,138,78,1335903,9680
2179907,2011,114,79,1065810,9349
2179907,2011,4265,91,34209056,8021
2179935,2011,89,86,834768,9379
2179929,2011,77,72,752949,9779
2179908,2011,81,86,763273,9423
2179918,2011,75,78,736849,9825
2179921,2011,163,79,1584943,9724
2179913,2011,79,77,799770,10124
2179909,2011,74,82,699538,9453
3125400,2011,1524,89,15941571,10460
1647100,2011,1785,92,18130797,10157
723600,2011,1918,84,16202079,8447
723603,2011,1808,83,16584760,9173
2327600,2011,1709,76,16014729,9371
723602,2011,1357,83,11810130,8703
3125401,2011,707,89,6834678,9667
2179901,2011,1495,85,12344473,8257
2179903,2011,68,81,664288,9769
972300,2011,215,96,1743914,8111
886400,2011,57,49,326107,5721
1180200,2011,52,44,303824,5843
1084700,2011,2046,74,14487138,7081
711300,2011,340,74,3470726,10208
3115000,2011,896,98,7535360,8410
4120900,2011,131,53,1074659,8204
108100,2011,27914,49,204784125,7336
107100,2011,642,8,2650178,4128
108700,2011,982,88,6603455,6724
3997300,2011,35,29,201455,5756
3005100,2011,70,96,359238,5132
3023400,2011,102,64,705488,6917
109100,2011,896,19,4214455,4704
109000,2011,5600,56,42956072,7671
109003,2011,496,31,1246096,2512
109002,2011,370,18,1672330,4520
108900,2011,4189,46,26087472,6228
2081400,2011,110,52,296319,2694
2521200,2011,249,77,1775072,7129
3159300,2011,167,95,1388104,8312
154600,2011,3725,54,22240674,5971
2257400,2011,56,49,157214,2807
643500,2011,56,80,390356,6971
301100,2011,159,76,1157592,7280
111600,2011,971,62,8103028,8345
2363500,2011,33,49,136981,4151
2538500,2011,65,65,350795,5397
2538502,2011,63,67,272049,4318
2525900,2011,144,38,816464,5670
3816300,2011,191,39,1354273,7090
3095500,2011,4667,84,34256936,7340
195200,2011,732,49,5429196,7417
4057300,2011,361,66,1939602,5373
403300,2011,1153,14,7366108,6389
188100,2011,43827,77,371220744,8470
199000,2011,1279,27,6285791,4915
3117000,2011,47,31,73501,1564
301200,2011,2343,74,16426382,7011
2187900,2011,132,63,783475,5935
3012300,2011,110,64,199263,1811
1115000,2011,78,4,282395,3620
2169900,2011,30,71,193301,6443
902200,2011,619,65,3482378,5626
2553500,2011,206,89,807080,3918
211800,2011,1538,69,10645151,6921
4152700,2011,100,88,296037,2960
3906300,2011,163,57,997095,6117
4038300,2011,527,93,6323000,11998
100800,2011,2126,59,11505672,5412
3740400,2011,197,79,1613383,8190
4160200,2011,7,2,32540,4649
3104500,2011,211,82,2004450,9500
1216500,2011,1189,39,6017469,5061
2580200,2011,330,87,2938063,8903
2234600,2011,161,61,1020129,6336
259600,2011,1908,25,5635638,2954
3429600,2011,21,84,262500,12500
2505400,2011,197,16,228233,1159
3468500,2011,288,96,2489011,8642
100900,2011,7519,37,51443284,6842
831000,2011,2690,56,19674677,7314
233400,2011,2078,66,16706286,8040
4021300,2011,80,87,358528,4482
163300,2011,1630,64,10791968,6621
345800,2011,1258,70,10490255,8339
3727600,2011,141,73,1326335,9407
3776300,2011,42,74,287104,6836
648700,2011,271,99,1874454,6917
163400,2011,1800,68,12982137,7212
354300,2011,987,76,7908470,8013
1201500,2011,10290,23,60026336,5833
2362800,2011,13,50,129500,9962
347800,2011,5672,58,39538098,6971
737200,2011,497,79,1623784,3267
2297702,2011,31,15,47927,1546
2297700,2011,146,21,241732,1656
2297701,2011,66,21,92291,1398
2297705,2011,71,27,97939,1379
1162100,2011,350,63,2961040,8460
1162101,2011,381,66,2713984,7123
2258600,2011,173,100,1086094,6278
1085800,2011,359,96,1397194,3892
2519800,2011,102,89,382330,3748
4171700,2011,38,88,180968,4762
3941300,2011,374,54,2352046,6289
3837300,2011,119,54,878237,7380
4155900,2011,128,67,885377,6917
2258400,2011,73,59,647500,8870
4140700,2011,243,61,2131448,8771
4141000,2011,193,71,1457564,7552
4137800,2011,267,72,2039479,7638
2600900,2011,592,85,4068000,6872
4167100,2011,251,76,2172250,8654
2117800,2011,99,100,254056,2566
2123200,2011,336,55,2674584,7960
3839300,2011,179,71,1677899,9374
4072300,2011,94,64,563848,5998
4142300,2011,350,90,1979967,5657
4119400,2011,840,96,4815065,5732
4134800,2011,181,97,1224155,6763
987300,2011,49,70,264125,5390
4160700,2011,229,61,1866525,8151
492900,2011,4,24,11000,2750
370200,2011,713,77,7489024,10504
4038400,2011,29,53,221717,7645
3523300,2011,272,92,719363,2645
3126300,2011,64,22,199385,3115
3573300,2011,319,84,2048462,6422
2596412,2011,71,38,295727,4165
3176300,2011,124,64,1199483,9673
3616300,2011,107,60,927922,8672
3883400,2011,175,61,1390481,7946
4156400,2011,115,75,1082830,9416
3110700,2011,73,28,645629,8844
3986300,2011,13,14,71250,5481
