OPEID,InstitutionName,PublicPrivate
247700,A T STILL UNIVERSITY OF HEALTH SCIENCES,NULL
2517500,AANIIIH NAKODA COLLEGE,PUBLIC
3064900,AARON''S ACADEMY OF BEAUTY,PRIVATE
3065100,ABC BEAUTY COLLEGE INC,PRIVATE
3783400,ABDILL CAREER COLLEGE INC,PRIVATE
353700,ABILENE CHRISTIAN UNIVERSITY,PRIVATE
154100,ABRAHAM BALDWIN AGRICULTURAL COLLEGE,PUBLIC
3122500,ACADEMIA SERRANT INC,PRIVATE
2050300,ACADEMY COLLEGE,PRIVATE
4104300,ACADEMY DI CAPELLI-SCHOOL OF COSMETOLOGY,PRIVATE
4133500,ACADEMY FOR FIVE ELEMENT ACUPUNCTURE,NULL
3346300,ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PRIVATE
753100,ACADEMY OF ART UNIVERSITY,PRIVATE
4126900,ACADEMY OF CAREER TRAINING,PRIVATE
1290500,ACADEMY OF CAREERS AND TECHNOLOGY,PRIVATE
3288300,ACADEMY OF CHINESE CULTURE AND HEALTH SCIENCES,NULL
2499000,ACADEMY OF COSMETOLOGY,PRIVATE
4118600,ACADEMY OF COSMETOLOGY,PRIVATE
2621300,ACADEMY OF COSMETOLOGY,PRIVATE
3277300,ACADEMY OF HAIR DESIGN-BEAUMONT,PRIVATE
2244300,ACADEMY OF HAIR DESIGN-GRENADA,PRIVATE
2244303,ACADEMY OF HAIR DESIGN-JACKSON,PRIVATE
1323200,ACADEMY OF HAIR DESIGN-LAS VEGAS,PRIVATE
3276300,ACADEMY OF HAIR DESIGN-LUFKIN,PRIVATE
2235900,ACADEMY OF HAIR DESIGN-PEARL,PRIVATE
1050700,ACADEMY OF HAIR DESIGN-SALEM,PRIVATE
4037500,ACADEMY OF HAIR DESIGN-SPRINGFIELD,PRIVATE
2552400,ACADEMY OF HAIR TECHNOLOGY,PRIVATE
4130700,ACADEMY OF MASSAGE AND BODYWORK,NULL
4093300,ACADEMY OF NATURAL THERAPY INC,PRIVATE
3113400,ACADEMY OF PALM BEACH,PRIVATE
1074100,ACADEMY OF SALON AND SPA,PRIVATE
3353300,ACADEMY OF VOCAL ARTS,NULL
4043300,ACE COMPUTER TRAINING CENTER,NULL
3327400,ACUPUNCTURE AND INTEGRATIVE MEDICINE COLLEGE-BERKELEY,NULL
134500,ADAMS STATE UNIVERSITY,PUBLIC
266600,ADELPHI UNIVERSITY,PRIVATE
3103700,ADIRONDACK BEAUTY SCHOOL,PRIVATE
286000,ADIRONDACK COMMUNITY COLLEGE,PUBLIC
3051900,ADLER GRADUATE SCHOOL,NULL
2068100,ADLER UNIVERSITY,NULL
223400,ADRIAN COLLEGE,PRIVATE
2520400,ADRIAN''S COLLEGE OF BEAUTY TURLOCK,PRIVATE
812900,ADULT AND COMMUNITY EDUCATION-HUDSON,PRIVATE
2312000,ADULT AND CONTINUING EDUCATION-BCTS,PRIVATE
3736300,ADVANCE BEAUTY COLLEGE,PRIVATE
3757300,ADVANCE SCIENCE INSTITUTE,PRIVATE
3412300,ADVANCED BARBER COLLEGE AND HAIR DESIGN,PRIVATE
3786300,ADVANCED COLLEGE,PRIVATE
1148400,ADVANCED INSTITUTE OF HAIR DESIGN-GLENDALE,PRIVATE
2293600,ADVANCED TECHNICAL CENTERS,PRIVATE
3127500,ADVANCED TECHNOLOGY INSTITUTE,PRIVATE
3532400,ADVANCED TRAINING ASSOCIATES,PRIVATE
3115500,ADVENTIST UNIVERSITY OF HEALTH SCIENCES,PRIVATE
2553000,ADVERTISING ART EDUCATIONAL SERVICES DBA SCHOOL OF ADVERTISING ART,PRIVATE
3097200,AESTHETICS INSTITUTE OF COSMETOLOGY,PRIVATE
154200,AGNES SCOTT COLLEGE,PRIVATE
887800,AI MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,PRIVATE
396300,AIB COLLEGE OF BUSINESS,PRIVATE
1005600,AIKEN TECHNICAL COLLEGE,PUBLIC
3066700,AILANO SCHOOL OF COSMETOLOGY,PRIVATE
758200,AIMS COMMUNITY COLLEGE,PUBLIC
2069500,AKRON INSTITUTE OF HERZING UNIVERSITY,PRIVATE
819400,AKRON SCHOOL OF PRACTICAL NURSING,PRIVATE
100200,ALABAMA A & M UNIVERSITY,PUBLIC
103400,ALABAMA SOUTHERN COMMUNITY COLLEGE,PUBLIC
3032500,ALABAMA STATE COLLEGE OF BARBER STYLING,PRIVATE
100500,ALABAMA STATE UNIVERSITY,PUBLIC
546300,ALAMANCE COMMUNITY COLLEGE,PUBLIC
360700,ALAMO COMMUNITY COLLEGE DISTRICT CENTRAL OFFICE,NULL
2541000,ALASKA CAREER COLLEGE,PRIVATE
106100,ALASKA PACIFIC UNIVERSITY,PRIVATE
2170200,ALBANY BOCES-ADULT PRACTICAL NURSING PROGRAM,PRIVATE
