OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
NULL,2010,"30,001 to 48,000",NULL
247700,2010,"30,001 to 48,000",NULL
2517500,2010,"30,001 to 48,000",777
3064900,2010,"30,001 to 48,000",17004
NULL,2010,"30,001 to 48,000",NULL
3065100,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
3783400,2010,"30,001 to 48,000",20310
353700,2010,"30,001 to 48,000",20145
154100,2010,"30,001 to 48,000",6121
3122500,2010,"30,001 to 48,000",11862
2050300,2010,"30,001 to 48,000",NULL
4104300,2010,"30,001 to 48,000",19596
NULL,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
4133500,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
3346300,2010,"30,001 to 48,000",30030
NULL,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
753100,2010,"30,001 to 48,000",30213
4126900,2010,"30,001 to 48,000",NULL
1290500,2010,"30,001 to 48,000",13128
3288300,2010,"30,001 to 48,000",NULL
2499000,2010,"30,001 to 48,000",27012
4118600,2010,"30,001 to 48,000",21034
2621300,2010,"30,001 to 48,000",14370
NULL,2010,"30,001 to 48,000",25944
NULL,2010,"30,001 to 48,000",NULL
4132400,2010,"30,001 to 48,000",19526
3277300,2010,"30,001 to 48,000",NULL
2244300,2010,"30,001 to 48,000",NULL
2244303,2010,"30,001 to 48,000",NULL
3276301,2010,"30,001 to 48,000",NULL
1323200,2010,"30,001 to 48,000",NULL
3276300,2010,"30,001 to 48,000",NULL
4144400,2010,"30,001 to 48,000",20925
2235900,2010,"30,001 to 48,000",NULL
1050700,2010,"30,001 to 48,000",24315
4037500,2010,"30,001 to 48,000",19596
2552400,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
4130700,2010,"30,001 to 48,000",NULL
4093300,2010,"30,001 to 48,000",26484
3113400,2010,"30,001 to 48,000",17076
NULL,2010,"30,001 to 48,000",NULL
1074100,2010,"30,001 to 48,000",22248
NULL,2010,"30,001 to 48,000",NULL
3353300,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
4043300,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
3327400,2010,"30,001 to 48,000",NULL
134500,2010,"30,001 to 48,000",9488
266600,2010,"30,001 to 48,000",21141
3103700,2010,"30,001 to 48,000",19359
286000,2010,"30,001 to 48,000",4060
3051900,2010,"30,001 to 48,000",NULL
2068100,2010,"30,001 to 48,000",NULL
223400,2010,"30,001 to 48,000",24870
2520400,2010,"30,001 to 48,000",25380
812900,2010,"30,001 to 48,000",NULL
2312000,2010,"30,001 to 48,000",NULL
3736300,2010,"30,001 to 48,000",12880
NULL,2010,"30,001 to 48,000",NULL
3757300,2010,"30,001 to 48,000",NULL
3412300,2010,"30,001 to 48,000",18928
NULL,2010,"30,001 to 48,000",3024
NULL,2010,"30,001 to 48,000",NULL
3786300,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
1148400,2010,"30,001 to 48,000",21288
2293600,2010,"30,001 to 48,000",NULL
3127500,2010,"30,001 to 48,000",10581
3532400,2010,"30,001 to 48,000",12006
NULL,2010,"30,001 to 48,000",NULL
4146900,2010,"30,001 to 48,000",16902
3115500,2010,"30,001 to 48,000",16100
2553000,2010,"30,001 to 48,000",34811
NULL,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
3097200,2010,"30,001 to 48,000",22260
154200,2010,"30,001 to 48,000",13106
887800,2010,"30,001 to 48,000",26295
396300,2010,"30,001 to 48,000",7736
NULL,2010,"30,001 to 48,000",9648
1005600,2010,"30,001 to 48,000",5425
3066700,2010,"30,001 to 48,000",16464
758200,2010,"30,001 to 48,000",9090
2069500,2010,"30,001 to 48,000",24285
819400,2010,"30,001 to 48,000",15680
100200,2010,"30,001 to 48,000",8004
NULL,2010,"30,001 to 48,000",NULL
103400,2010,"30,001 to 48,000",3987
3032500,2010,"30,001 to 48,000",NULL
100500,2010,"30,001 to 48,000",5006
546300,2010,"30,001 to 48,000",6690
NULL,2010,"30,001 to 48,000",NULL
360700,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
