OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
4149500,2011,"0 to 30,000",NULL
247700,2011,"0 to 30,000",NULL
2517500,2011,"0 to 30,000",9383
3064900,2011,"0 to 30,000",9245
4168800,2011,"0 to 30,000",2519
3065100,2011,"0 to 30,000",3688
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",14106
3783400,2011,"0 to 30,000",19082
353700,2011,"0 to 30,000",20275
154100,2011,"0 to 30,000",6017
3122500,2011,"0 to 30,000",7871
2050300,2011,"0 to 30,000",NULL
4104300,2011,"0 to 30,000",14207
NULL,2011,"0 to 30,000",NULL
4083300,2011,"0 to 30,000",9163
4133500,2011,"0 to 30,000",NULL
4155500,2011,"0 to 30,000",NULL
3346300,2011,"0 to 30,000",14308
NULL,2011,"0 to 30,000",14712
NULL,2011,"0 to 30,000",10909
753100,2011,"0 to 30,000",28526
4126900,2011,"0 to 30,000",6605
1290500,2011,"0 to 30,000",7141
3288300,2011,"0 to 30,000",NULL
2499000,2011,"0 to 30,000",14282
4118600,2011,"0 to 30,000",7654
2621300,2011,"0 to 30,000",7947
4156000,2011,"0 to 30,000",19802
NULL,2011,"0 to 30,000",NULL
4132400,2011,"0 to 30,000",7575
3277300,2011,"0 to 30,000",7755
2244300,2011,"0 to 30,000",5382
2244303,2011,"0 to 30,000",6499
3276301,2011,"0 to 30,000",9389
1323200,2011,"0 to 30,000",9282
3276300,2011,"0 to 30,000",11177
4144400,2011,"0 to 30,000",9630
2235900,2011,"0 to 30,000",6718
1050700,2011,"0 to 30,000",9071
4037500,2011,"0 to 30,000",9864
2552400,2011,"0 to 30,000",12973
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
4130700,2011,"0 to 30,000",NULL
4093300,2011,"0 to 30,000",22747
3113400,2011,"0 to 30,000",7526
NULL,2011,"0 to 30,000",NULL
1074100,2011,"0 to 30,000",15030
NULL,2011,"0 to 30,000",NULL
3353300,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",18544
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
4043300,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
3327400,2011,"0 to 30,000",NULL
134500,2011,"0 to 30,000",8910
266600,2011,"0 to 30,000",21757
3103700,2011,"0 to 30,000",10082
286000,2011,"0 to 30,000",2801
3051900,2011,"0 to 30,000",NULL
2068100,2011,"0 to 30,000",NULL
223400,2011,"0 to 30,000",11861
2520400,2011,"0 to 30,000",11987
812900,2011,"0 to 30,000",15974
2312000,2011,"0 to 30,000",8641
3736300,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
3757300,2011,"0 to 30,000",17813
3412300,2011,"0 to 30,000",4967
4155800,2011,"0 to 30,000",6442
NULL,2011,"0 to 30,000",NULL
3786300,2011,"0 to 30,000",18275
NULL,2011,"0 to 30,000",5938
NULL,2011,"0 to 30,000",NULL
1148400,2011,"0 to 30,000",10152
2293600,2011,"0 to 30,000",NULL
3127500,2011,"0 to 30,000",18262
3532400,2011,"0 to 30,000",10748
NULL,2011,"0 to 30,000",NULL
4146900,2011,"0 to 30,000",14828
3115500,2011,"0 to 30,000",15784
2553000,2011,"0 to 30,000",30250
4157100,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
3097200,2011,"0 to 30,000",18274
154200,2011,"0 to 30,000",13672
887800,2011,"0 to 30,000",25935
396300,2011,"0 to 30,000",8917
4158100,2011,"0 to 30,000",11704
1005600,2011,"0 to 30,000",5492
3066700,2011,"0 to 30,000",14840
758200,2011,"0 to 30,000",7563
962105,2011,"0 to 30,000",15497
819400,2011,"0 to 30,000",12782
100200,2011,"0 to 30,000",7466
NULL,2011,"0 to 30,000",NULL
103400,2011,"0 to 30,000",1628
3032500,2011,"0 to 30,000",402
100500,2011,"0 to 30,000",4745
546300,2011,"0 to 30,000",7769
NULL,2011,"0 to 30,000",NULL
360700,2011,"0 to 30,000",NULL
884300,2011,"0 to 30,000",7180
2541000,2011,"0 to 30,000",18220
4138600,2011,"0 to 30,000",7444
106100,2011,"0 to 30,000",28552
2170200,2011,"0 to 30,000",14461
288500,2011,"0 to 30,000",21673
288600,2011,"0 to 30,000",NULL
288700,2011,"0 to 30,000",NULL
154400,2011,"0 to 30,000",8457
560100,2011,"0 to 30,000",9976
982200,2011,"0 to 30,000",7064
137400,2011,"0 to 30,000",17916
223500,2011,"0 to 30,000",14629
322900,2011,"0 to 30,000",16057
239600,2011,"0 to 30,000",9678
380600,2011,"0 to 30,000",10022
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
3538300,2011,"0 to 30,000",16634
554400,2011,"0 to 30,000",12860
266800,2011,"0 to 30,000",14761
2282300,2011,"0 to 30,000",5532
195100,2011,"0 to 30,000",10449
NULL,2011,"0 to 30,000",NULL
4174200,2011,"0 to 30,000",6045
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",21850
2495500,2011,"0 to 30,000",13456
3072400,2011,"0 to 30,000",NULL
3493300,2011,"0 to 30,000",13438
111100,2011,"0 to 30,000",4153
205700,2011,"0 to 30,000",6732
323000,2011,"0 to 30,000",15505
3457300,2011,"0 to 30,000",3793
3069100,2011,"0 to 30,000",15015
190100,2011,"0 to 30,000",4161
3358301,2011,"0 to 30,000",24380
3358300,2011,"0 to 30,000",23380
NULL,2011,"0 to 30,000",NULL
341700,2011,"0 to 30,000",12106
NULL,2011,"0 to 30,000",NULL
1111700,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",4249
223600,2011,"0 to 30,000",15750
223700,2011,"0 to 30,000",1077
2290400,2011,"0 to 30,000",7671
323300,2011,"0 to 30,000",20926
383200,2011,"0 to 30,000",12803
353900,2011,"0 to 30,000",4491
3414500,2011,"0 to 30,000",26116
354000,2011,"0 to 30,000",2942
NULL,2011,"0 to 30,000",NULL
4124700,2011,"0 to 30,000",15185
1081300,2011,"0 to 30,000",16244
3833300,2011,"0 to 30,000",NULL
162800,2011,"0 to 30,000",22503
4151500,2011,"0 to 30,000",11727
NULL,2011,"0 to 30,000",NULL
2106900,2011,"0 to 30,000",31843
746500,2011,"0 to 30,000",29359
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
3491400,2011,"0 to 30,000",NULL
1046000,2011,"0 to 30,000",17074
112000,2011,"0 to 30,000",NULL
4169900,2011,"0 to 30,000",6533
1307400,2011,"0 to 30,000",9914
3903400,2011,"0 to 30,000",7559
3030802,2011,"0 to 30,000",10061
3030800,2011,"0 to 30,000",7807
NULL,2011,"0 to 30,000",7333
4118700,2011,"0 to 30,000",13949
2241801,2011,"0 to 30,000",24505
NULL,2011,"0 to 30,000",NULL
2241800,2011,"0 to 30,000",17221
3359300,2011,"0 to 30,000",23531
3971300,2011,"0 to 30,000",23427
NULL,2011,"0 to 30,000",NULL
3153300,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
2309100,2011,"0 to 30,000",8132
765800,2011,"0 to 30,000",8219
3144400,2011,"0 to 30,000",8742
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
3078200,2011,"0 to 30,000",NULL
2099200,2011,"0 to 30,000",NULL
2303800,2011,"0 to 30,000",6605
2222000,2011,"0 to 30,000",NULL
2289000,2011,"0 to 30,000",8598
NULL,2011,"0 to 30,000",15514
2199900,2011,"0 to 30,000",15706
2514100,2011,"0 to 30,000",5243
3534400,2011,"0 to 30,000",22410
4016500,2011,"0 to 30,000",9983
4148700,2011,"0 to 30,000",13026
3962300,2011,"0 to 30,000",9349
4136400,2011,"0 to 30,000",13587
4060300,2011,"0 to 30,000",22405
NULL,2011,"0 to 30,000",NULL
2317800,2011,"0 to 30,000",13873
2106601,2011,"0 to 30,000",11427
3706300,2011,"0 to 30,000",12607
NULL,2011,"0 to 30,000",NULL
2106600,2011,"0 to 30,000",9006
2113600,2011,"0 to 30,000",19350
2113610,2011,"0 to 30,000",22676
021136A1  ,2011,"0 to 30,000",20179
211400,2011,"0 to 30,000",17588
274100,2011,"0 to 30,000",31263
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",16370
757200,2011,"0 to 30,000",27760
372600,2011,"0 to 30,000",15083
NULL,2011,"0 to 30,000",NULL
-2,2011,"0 to 30,000",16985
372601,2011,"0 to 30,000",18643
-2,2011,"0 to 30,000",NULL
1048900,2011,"0 to 30,000",13135
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
-2,2011,"0 to 30,000",16001
3819300,2011,"0 to 30,000",9293
123200,2011,"0 to 30,000",5576
1001000,2011,"0 to 30,000",42
2601000,2011,"0 to 30,000",6778
2311200,2011,"0 to 30,000",20555
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",1464
NULL,2011,"0 to 30,000",13098
143400,2011,"0 to 30,000",27022
3225300,2011,"0 to 30,000",59962
1194101,2011,"0 to 30,000",8981
1194100,2011,"0 to 30,000",9095
2270802,2011,"0 to 30,000",26428
2270800,2011,"0 to 30,000",12530
NULL,2011,"0 to 30,000",NULL
211500,2011,"0 to 30,000",448
2503400,2011,"0 to 30,000",NULL
182300,2011,"0 to 30,000",NULL
178400,2011,"0 to 30,000",11671
178500,2011,"0 to 30,000",17416
341800,2011,"0 to 30,000",13920
211600,2011,"0 to 30,000",NULL
154500,2011,"0 to 30,000",13153
223800,2011,"0 to 30,000",14565
4160400,2011,"0 to 30,000",12895
4164400,2011,"0 to 30,000",17220
666100,2011,"0 to 30,000",5355
354100,2011,"0 to 30,000",7878
211700,2011,"0 to 30,000",18133
205800,2011,"0 to 30,000",10375
NULL,2011,"0 to 30,000",NULL
735000,2011,"0 to 30,000",13929
233200,2011,"0 to 30,000",10443
111300,2011,"0 to 30,000",6266
2234900,2011,"0 to 30,000",4027
NULL,2011,"0 to 30,000",NULL
301002,2011,"0 to 30,000",NULL
301000,2011,"0 to 30,000",NULL
301004,2011,"0 to 30,000",NULL
301003,2011,"0 to 30,000",NULL
301005,2011,"0 to 30,000",24074
003010A1  ,2011,"0 to 30,000",NULL
1289100,2011,"0 to 30,000",19541
1289102,2011,"0 to 30,000",21974
1289101,2011,"0 to 30,000",21403
743000,2011,"0 to 30,000",23720
3067000,2011,"0 to 30,000",15490
3156400,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
961200,2011,"0 to 30,000",3684
3513400,2011,"0 to 30,000",8718
751800,2011,"0 to 30,000",19023
2562300,2011,"0 to 30,000",14275
2159100,2011,"0 to 30,000",8952
754400,2011,"0 to 30,000",11857
-2,2011,"0 to 30,000",NULL
3559300,2011,"0 to 30,000",NULL
290600,2011,"0 to 30,000",4931
3068600,2011,"0 to 30,000",13831
223900,2011,"0 to 30,000",10616
347700,2011,"0 to 30,000",14540
163200,2011,"0 to 30,000",NULL
134600,2011,"0 to 30,000",7246
323500,2011,"0 to 30,000",19375
2179902,2011,"0 to 30,000",23366
2179900,2011,"0 to 30,000",22058
2179919,2011,"0 to 30,000",23620
021799A2  ,2011,"0 to 30,000",21590
2179905,2011,"0 to 30,000",23134
2179932,2011,"0 to 30,000",19936
2179928,2011,"0 to 30,000",21761
2179914,2011,"0 to 30,000",20454
2179916,2011,"0 to 30,000",NULL
2179907,2011,"0 to 30,000",20374
2179907,2011,"0 to 30,000",36432
2179935,2011,"0 to 30,000",20861
2179929,2011,"0 to 30,000",NULL
2179908,2011,"0 to 30,000",21618
2179918,2011,"0 to 30,000",22210
2179921,2011,"0 to 30,000",22524
2179913,2011,"0 to 30,000",20374
2179909,2011,"0 to 30,000",23597
3125400,2011,"0 to 30,000",25945
1647100,2011,"0 to 30,000",25151
723600,2011,"0 to 30,000",23768
723603,2011,"0 to 30,000",19995
007236A3  ,2011,"0 to 30,000",23760
2327600,2011,"0 to 30,000",23929
723602,2011,"0 to 30,000",26379
3125401,2011,"0 to 30,000",24416
2179901,2011,"0 to 30,000",21045
2179903,2011,"0 to 30,000",21516
972300,2011,"0 to 30,000",11786
886400,2011,"0 to 30,000",NULL
1180200,2011,"0 to 30,000",NULL
1084700,2011,"0 to 30,000",23823
001083A1  ,2011,"0 to 30,000",NULL
711300,2011,"0 to 30,000",24830
NULL,2011,"0 to 30,000",NULL
3115000,2011,"0 to 30,000",18749
NULL,2011,"0 to 30,000",NULL
4120900,2011,"0 to 30,000",33252
3695500,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
108100,2011,"0 to 30,000",6673
NULL,2011,"0 to 30,000",NULL
4131400,2011,"0 to 30,000",NULL
107100,2011,"0 to 30,000",8307
108700,2011,"0 to 30,000",14184
3997300,2011,"0 to 30,000",6188
3005100,2011,"0 to 30,000",6038
3023400,2011,"0 to 30,000",14713
1286000,2011,"0 to 30,000",6618
2348200,2011,"0 to 30,000",8759
109100,2011,"0 to 30,000",3288
109000,2011,"0 to 30,000",7437
109003,2011,"0 to 30,000",12549
109002,2011,"0 to 30,000",3540
001090A1  ,2011,"0 to 30,000",NULL
108900,2011,"0 to 30,000",7550
2081400,2011,"0 to 30,000",16351
2521200,2011,"0 to 30,000",19319
3159300,2011,"0 to 30,000",19550
154600,2011,"0 to 30,000",8895
2257400,2011,"0 to 30,000",14689
643500,2011,"0 to 30,000",12687
NULL,2011,"0 to 30,000",NULL
301100,2011,"0 to 30,000",13883
111600,2011,"0 to 30,000",31433
2363500,2011,"0 to 30,000",6545
2538500,2011,"0 to 30,000",9173
2538502,2011,"0 to 30,000",9018
2525900,2011,"0 to 30,000",20046
NULL,2011,"0 to 30,000",11215
3816300,2011,"0 to 30,000",11886
3095500,2011,"0 to 30,000",19820
195300,2011,"0 to 30,000",NULL
195200,2011,"0 to 30,000",16885
4057300,2011,"0 to 30,000",16443
403300,2011,"0 to 30,000",10456
188100,2011,"0 to 30,000",18468
199000,2011,"0 to 30,000",5687
3117000,2011,"0 to 30,000",12180
301200,2011,"0 to 30,000",18959
2187900,2011,"0 to 30,000",12352
NULL,2011,"0 to 30,000",NULL
2595600,2011,"0 to 30,000",-2614
3012300,2011,"0 to 30,000",6736
1115000,2011,"0 to 30,000",5597
NULL,2011,"0 to 30,000",NULL
4080300,2011,"0 to 30,000",NULL
2169900,2011,"0 to 30,000",19571
1212000,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
2506000,2011,"0 to 30,000",12331
902200,2011,"0 to 30,000",13515
2553500,2011,"0 to 30,000",19906
211800,2011,"0 to 30,000",16729
4152700,2011,"0 to 30,000",5658
3906300,2011,"0 to 30,000",14789
4038300,2011,"0 to 30,000",25437
NULL,2011,"0 to 30,000",11922
3544300,2011,"0 to 30,000",5413
NULL,2011,"0 to 30,000",NULL
100800,2011,"0 to 30,000",NULL
560000,2011,"0 to 30,000",4269
3740400,2011,"0 to 30,000",18980
4160200,2011,"0 to 30,000",5470
3104500,2011,"0 to 30,000",26738
1216500,2011,"0 to 30,000",9228
2580200,2011,"0 to 30,000",17713
854300,2011,"0 to 30,000",5424
3173300,2011,"0 to 30,000",NULL
2234600,2011,"0 to 30,000",19291
259600,2011,"0 to 30,000",10829
3429600,2011,"0 to 30,000",NULL
1226300,2011,"0 to 30,000",5593
2505400,2011,"0 to 30,000",4778
NULL,2011,"0 to 30,000",NULL
3468500,2011,"0 to 30,000",30293
3051400,2011,"0 to 30,000",7444
100900,2011,"0 to 30,000",9574
