OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
4149500,2011,"Over 110,000",NULL
247700,2011,"Over 110,000",NULL
2517500,2011,"Over 110,000",NULL
3064900,2011,"Over 110,000",13307
4168800,2011,"Over 110,000",NULL
3065100,2011,"Over 110,000",NULL
NULL,2011,"Over 110,000",NULL
NULL,2011,"Over 110,000",NULL
3783400,2011,"Over 110,000",NULL
353700,2011,"Over 110,000",27693
154100,2011,"Over 110,000",11776
3122500,2011,"Over 110,000",NULL
2050300,2011,"Over 110,000",NULL
4104300,2011,"Over 110,000",NULL
NULL,2011,"Over 110,000",NULL
4083300,2011,"Over 110,000",NULL
4133500,2011,"Over 110,000",NULL
4155500,2011,"Over 110,000",NULL
3346300,2011,"Over 110,000",NULL
NULL,2011,"Over 110,000",NULL
NULL,2011,"Over 110,000",NULL
753100,2011,"Over 110,000",34189
4126900,2011,"Over 110,000",NULL
1290500,2011,"Over 110,000",NULL
3288300,2011,"Over 110,000",NULL
2499000,2011,"Over 110,000",NULL
4118600,2011,"Over 110,000",NULL
2621300,2011,"Over 110,000",NULL
4156000,2011,"Over 110,000",25019
NULL,2011,"Over 110,000",NULL
4132400,2011,"Over 110,000",NULL
3277300,2011,"Over 110,000",NULL
2244300,2011,"Over 110,000",NULL
2244303,2011,"Over 110,000",NULL
3276301,2011,"Over 110,000",NULL
1323200,2011,"Over 110,000",NULL
3276300,2011,"Over 110,000",NULL
4144400,2011,"Over 110,000",NULL
2235900,2011,"Over 110,000",NULL
1050700,2011,"Over 110,000",NULL
4037500,2011,"Over 110,000",NULL
2552400,2011,"Over 110,000",NULL
NULL,2011,"Over 110,000",NULL
NULL,2011,"Over 110,000",NULL
4130700,2011,"Over 110,000",NULL
4093300,2011,"Over 110,000",26861
3113400,2011,"Over 110,000",NULL
NULL,2011,"Over 110,000",NULL
1074100,2011,"Over 110,000",NULL
NULL,2011,"Over 110,000",NULL
3353300,2011,"Over 110,000",NULL
NULL,2011,"Over 110,000",NULL
NULL,2011,"Over 110,000",NULL
NULL,2011,"Over 110,000",NULL
4043300,2011,"Over 110,000",NULL
NULL,2011,"Over 110,000",NULL
3327400,2011,"Over 110,000",NULL
134500,2011,"Over 110,000",14706
266600,2011,"Over 110,000",29509
3103700,2011,"Over 110,000",13668
286000,2011,"Over 110,000",8248
3051900,2011,"Over 110,000",NULL
2068100,2011,"Over 110,000",NULL
223400,2011,"Over 110,000",25029
2520400,2011,"Over 110,000",NULL
812900,2011,"Over 110,000",NULL
2312000,2011,"Over 110,000",NULL
3736300,2011,"Over 110,000",NULL
