OPEID,DisbursementYear,Average net price (income 0-30 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 30 001-48 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 48 001-75 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 75 001-110 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income over 110 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV)
4149500,2011,NULL,NULL,NULL,NULL,NULL
247700,2011,NULL,NULL,NULL,NULL,NULL
2517500,2011,9383,NULL,NULL,NULL,NULL
3064900,2011,9245,10407,11057,13307,13307
4168800,2011,2519,NULL,NULL,NULL,NULL
3065100,2011,3688,NULL,NULL,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
NULL,2011,14106,NULL,NULL,NULL,NULL
3783400,2011,19082,20298,19365,NULL,NULL
353700,2011,20275,21921,22771,25295,27693
154100,2011,6017,7065,9745,11215,11776
3122500,2011,7871,8429,NULL,NULL,NULL
2050300,2011,NULL,17556,NULL,NULL,NULL
4104300,2011,14207,14415,16990,17850,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
4083300,2011,9163,NULL,NULL,NULL,NULL
4133500,2011,NULL,NULL,NULL,NULL,NULL
4155500,2011,NULL,NULL,NULL,NULL,NULL
3346300,2011,14308,15479,17487,19762,NULL
NULL,2011,14712,NULL,NULL,NULL,NULL
NULL,2011,10909,NULL,NULL,NULL,NULL
753100,2011,28526,29307,31948,33086,34189
4126900,2011,6605,NULL,NULL,NULL,NULL
1290500,2011,7141,9786,NULL,NULL,NULL
3288300,2011,NULL,NULL,NULL,NULL,NULL
2499000,2011,14282,14782,18782,19115,NULL
4118600,2011,7654,7864,5926,10540,NULL
2621300,2011,7947,10233,12108,NULL,NULL
4156000,2011,19802,20033,23769,24619,25019
NULL,2011,NULL,NULL,NULL,NULL,NULL
4132400,2011,7575,7085,7869,NULL,NULL
3277300,2011,7755,NULL,NULL,NULL,NULL
2244300,2011,5382,NULL,NULL,NULL,NULL
2244303,2011,6499,NULL,NULL,NULL,NULL
