OPEID,DisbursementYear,NumReceivingFedLoan,PercentReceivingFedLoan,TotalFedLoanAid,AvgFedLoanAid
4149500,2013,36,88,9000,250
247700,2013,NULL,NULL,NULL,
2517500,2013,0,0,0,
3064900,2013,57,69,262665,4608
4168800,2013,0,0,0,
3065100,2013,72,95,355690,4940
NULL,2013,NULL,NULL,NULL,
4183300,2013,163,89,778404,4775
3783400,2013,106,83,424336,4003
353700,2013,2031,56,20484590,10086
154100,2013,1373,42,6797773,4951
3122500,2013,0,0,0,
2050300,2013,118,78,967195,8197
4104300,2013,65,80,246431,3791
4207200,2013,12,44,58710,4893
4083300,2013,0,0,0,
4133500,2013,NULL,NULL,NULL,
4155500,2013,NULL,NULL,NULL,
3346300,2013,540,53,3242055,6004
4189800,2013,94,66,672116,7150
4185700,2013,192,85,1057173,5506
753100,2013,6601,60,51762652,7842
4126900,2013,120,41,729684,6081
1290500,2013,0,0,0,
3288300,2013,NULL,NULL,NULL,
2499000,2013,280,91,768427,2744
4118600,2013,60,69,291078,4851
2621300,2013,27,48,116756,4324
4156000,2013,118,57,789492,6691
4185500,2013,12,57,94111,7843
4132400,2013,30,58,92527,3084
3277300,2013,30,33,26510,884
2244300,2013,0,0,0,
2244303,2013,0,0,0,
3276301,2013,3,5,5200,1733
1323200,2013,175,68,1287701,7358
3276300,2013,9,6,6000,667
4144400,2013,67,85,454919,6790
2235900,2013,0,0,0,
1050700,2013,79,100,430593,5451
4037500,2013,95,60,694801,7314
2552400,2013,75,46,415265,5537
NULL,2013,0,0,0,
NULL,2013,NULL,NULL,NULL,
4130700,2013,85,77,415951,4894
4093300,2013,110,96,602672,5479
3113400,2013,62,40,458571,7396
NULL,2013,NULL,NULL,NULL,
1074100,2013,78,62,455013,5834
NULL,2013,11,34,61342,5577
3353300,2013,NULL,NULL,NULL,
4165500,2013,28,36,129998,4643
NULL,2013,NULL,NULL,NULL,
4157500,2013,81,11,761886,9406
4043300,2013,74,44,332896,4499
NULL,2013,6,55,7000,1167
3327400,2013,NULL,NULL,NULL,
134500,2013,1521,63,9201883,6050
266600,2013,3092,61,24212052,7831
3103700,2013,33,87,149562,4532
286000,2013,1387,35,7311143,5271
3051900,2013,NULL,NULL,NULL,
2068100,2013,NULL,NULL,NULL,
223400,2013,1413,80,9963741,7051
2520400,2013,128,55,774423,6050
812900,2013,145,64,1470465,10141
2312000,2013,66,42,223434,3385
3736300,2013,0,0,0,
4206800,2013,78,79,588174,7541
3757300,2013,53,71,488255,9212
3412300,2013,0,0,0,
4155800,2013,0,0,0,
4208900,2013,78,14,454570,5828
3786300,2013,171,74,1297127,7586
4179200,2013,31,48,232274,7493
NULL,2013,4,1,16839,4210
1148401,2013,119,63,1083255,9103
2293600,2013,0,0,0,
3127500,2013,296,38,2898124,9791
3532400,2013,43,47,217301,5054
4171000,2013,179,59,1174112,6559
4146900,2013,47,77,318233,6771
3115500,2013,1460,57,10237958,7012
2553000,2013,108,95,696900,6453
4157100,2013,39,40,143793,3687
4204300,2013,60,43,314677,5245
3097200,2013,32,35,170004,5313
154200,2013,582,66,4384074,7533
887800,2013,2554,75,25085917,9822
396300,2013,666,74,4359592,6546
4158100,2013,37,79,187991,5081
1005600,2013,630,22,3303347,5243
3066700,2013,38,66,223804,5890
758200,2013,1787,36,8008410,4481
962105,2013,374,88,2098869,5612
819400,2013,40,83,224677,5617
100200,2013,3421,82,29128198,8515
NULL,2013,NULL,NULL,NULL,
103400,2013,0,0,0,
3032500,2013,0,0,0,
100500,2013,4481,87,37751340,8425
546300,2013,0,0,0,
NULL,2013,NULL,NULL,NULL,
360700,2013,NULL,NULL,NULL,
884300,2013,11,20,82380,7489
2541000,2013,401,79,3152623,7862
4138600,2013,26,65,76931,2959
106100,2013,189,46,831986,4402
2170200,2013,150,73,1010274,6735
288500,2013,871,81,6592305,7569
288600,2013,NULL,NULL,NULL,
288700,2013,NULL,NULL,NULL,
154400,2013,3440,90,28281550,8221
560100,2013,2146,55,9076583,4230
982200,2013,0,0,0,
137400,2013,1061,78,9069768,8548
223500,2013,853,62,6640511,7785
322900,2013,1877,85,15572318,8296
239600,2013,2846,89,24593800,8642
380600,2013,680,82,4644827,6831
4193100,2013,32,55,319000,9969
NULL,2013,NULL,NULL,NULL,
3538300,2013,43,84,267167,6213
554400,2013,1226,41,7874841,6423
266800,2013,1506,78,10426105,6923
2282300,2013,0,0,0,
195100,2013,409,67,1896852,4638
NULL,2013,NULL,NULL,NULL,
4174200,2013,70,74,508293,7261
NULL,2013,NULL,NULL,NULL,
2495502,2013,416,96,2956326,7107
2495500,2013,456,60,2994332,6567
3072400,2013,358,51,894584,2499
3493300,2013,1153,50,6354246,5511
111100,2013,246,2,1613006,6557
