OPEID,Street,City,State,StateDesc,Zip,ProgramLengthCode,SchoolTypeCode,EthnicAffiliationCode
41176,10456 S. HALSTED STREET                           ,CHICAGO             ,IL,ILLINOIS                                                    ,60628,3,3,5
41480,161-10 JAMAICA AVENUE              SUITE 404      ,JAMAICA             ,NY,NEW YORK                                                    ,11432,3,3,5
36803,11910 FONDREN MEADOW DR.                          ,HOUSTON             ,TX,TEXAS                                                       ,77071,3,3,5
22429,3315 UNIVERSITY DRIVE                             ,BISMARCK            ,ND,NORTH DAKOTA                                                ,58504,6,2,1
2934,286 ICC LOOP ROAD                                 ,SPINDALE            ,NC,NORTH CAROLINA                                              ,28160,5,1,5
24948,11889 VALLEY VIEW STREET           SUITE C        ,GARDEN GROVE        ,CA,CALIFORNIA                                                  ,92845,3,3,5
30199,1200 NORTH FAIR OAKS AVENUE        SUITE 32       ,PASADENA            ,CA,CALIFORNIA                                                  ,91103,3,3,5
5363,1126 SOLOMON BLATT BOULEVARD                      ,DENMARK             ,SC,SOUTH CAROLINA                                              ,29042,5,1,2
12948,260 SOUTH MAIN STREET                             ,FALL RIVER          ,MA,MASSACHUSETTS                                               ,2721,3,3,5
20533,CALLE SAN FRANCISCO NO. 1139       FRACCIONAMIENTO,ENSENADA            ,FC,MEXICO              ,22830,7,6,5
41746,968 MADISON SQUARE                                ,MADISON             ,TN,TENNESSEE                                                   ,37115,3,3,5
39303,925 SEVIER STREET                                 ,SHELBYVILLE         ,TN,TENNESSEE                                                   ,37160,3,3,5
4927,309 EAST ACADEMY STREET                           ,UNION               ,SC,SOUTH CAROLINA                                              ,29379,6,1,5
36114,51 NORTH STATE ROAD 7                             ,PLANTATION          ,FL,FLORIDA                                                     ,33317,3,3,5
41489,601 EAST 14TH STREET                              ,SAN LEANDRO         ,CA,CALIFORNIA                                                  ,94577,3,3,5
20568,1410 INDUSTRIAL DRIVE                             ,CHILLICOTHE         ,OH,OHIO                                                        ,45601,5,3,5
30649,11690 DOOLITTLE DRIVE                             ,WALDORF             ,MD,MARYLAND                                                    ,20602,3,3,5
38763,311 SOUTH EAST STREET #120                        ,CULPEPER            ,VA,VIRGINIA                                                    ,22701,3,1,5
3762,2058 GARFIELD AVENUE                              ,LYNCHBURG           ,VA,VIRGINIA                                                    ,24501,8,2,2
38233,2901 WEST OAKLAND PARK BLVD. B 16                 ,OAKLAND PARK        ,FL,FLORIDA                                                     ,33311,3,3,5
39644,72261 HIGHWAY 111                  SUITE 121-B    ,PALM DESERT         ,CA,CALIFORNIA                                                  ,92260,3,3,5
13008,8820 SW CENTER STREET                             ,TIGARD              ,OR,OREGON                                                      ,97223,4,3,5
21816,150 PLEASANT STREET                               ,WORCESTER           ,MA,MASSACHUSETTS                                               ,1609,3,3,5
25307,6672 HIGHWAY 06 SOUTH                             ,HOUSTON             ,TX,TEXAS                                                       ,77083,3,3,5
7447,111 MILFORD STREET                                ,SALISBURY           ,MD,MARYLAND                                                    ,21804,3,3,5
41690,2695  NORTH CORIA STREET                          ,BROWNSVILLE         ,TX,TEXAS                                                       ,78521,3,3,5
40453,6770 ANTOINE DRIVE                                ,HOUSTON             ,TX,TEXAS                                                       ,77091,3,3,5
23394,1872 ACUSHNET AVENUE                              ,NEW BEDFORD         ,MA,MASSACHUSETTS                                               ,2746,3,3,5
1038,220 NORTH WALNUT STREET                           ,BOAZ                ,AL,ALABAMA                                                     ,35957,5,1,5
41821,306 STATE STREET                                  ,BELOIT              ,WI,WISCONSIN                                                   ,52511,4,3,5
11672,1000 HENSLEY CREEK ROAD                           ,UKIAH               ,CA,CALIFORNIA                                                  ,95482,5,1,5
23513,320 EAST CULVER ROAD                              ,KNOX                ,IN,INDIANA                                                     ,46534,3,3,5
8612,5160 FAYETTEVILLE ROAD                            ,LUMBERTON           ,NC,NORTH CAROLINA                                              ,28359,5,1,5
21760,2541 MILITARY ROAD                                ,NIAGARA FALLS       ,NY,NEW YORK                                                    ,14304,3,3,5
