OPEID,InstitutionName,PublicPrivate
NULL,A & W Healthcare Educators,NULL
247700,A T Still University of Health Sciences,NULL
2517500,Aaniiih Nakoda College,public
3064900,Aaron's Academy of Beauty,private
NULL,ABC Beauty Academy,NULL
3065100,ABC Beauty College Inc,private
NULL,ABCO Technology,NULL
NULL,Abcott Institute,NULL
3783400,Abdill Career College Inc,private
353700,Abilene Christian University,private
154100,Abraham Baldwin Agricultural College,public
3122500,Academia Serrant Inc,private
2050300,Academy College,private
4104300,Academy Di Capelli-School of Cosmetology,private
NULL,Academy di Firenze,NULL
NULL,Academy for Careers and Technology,NULL
4133500,Academy for Five Element Acupuncture,NULL
NULL,Academy for Jewish Religion-California,NULL
3346300,Academy for Nursing and Health Occupations,private
NULL,Academy for Salon Professionals,NULL
NULL,Academy for Salon Professionals,NULL
753100,Academy of Art University,private
4126900,Academy of Career Training,private
1290500,Academy of Careers and Technology,private
3288300,Academy of Chinese Culture and Health Sciences,NULL
2499000,Academy of Cosmetology,private
4118600,Academy of Cosmetology,private
2621300,Academy of Cosmetology,private
NULL,Academy of Cosmetology and Esthetics NYC,NULL
NULL,Academy of Couture Art,NULL
NULL,Academy of Esthetics and Cosmetology,private
3277300,Academy of Hair Design-Beaumont,private
2244300,Academy of Hair Design-Grenada,private
2244303,Academy of Hair Design-Jackson,private
032763A1  ,Academy of Hair Design-Jasper,private
1323200,Academy of Hair Design-Las Vegas,private
3276300,Academy of Hair Design-Lufkin,private
NULL,Academy of Hair Design-Oklahoma City,private
2235900,Academy of Hair Design-Pearl,private
1050700,Academy of Hair Design-Salem,private
4037500,Academy of Hair Design-Springfield,private
2552400,Academy of Hair Technology,private
NULL,Academy of Interactive Entertainment,NULL
NULL,Academy of Interactive Entertainment,NULL
4130700,Academy of Massage and Bodywork,NULL
4093300,Academy of Natural Therapy Inc,private
3113400,Academy of Palm Beach,private
NULL,Academy of Professional Cosmetology,NULL
1074100,Academy of Salon and Spa,private
NULL,Academy of Salon Professionals,NULL
3353300,Academy of Vocal Arts,NULL
NULL,Acaydia School of Aesthetics,NULL
NULL,Access Careers,NULL
NULL,Access Careers,NULL
4043300,Ace Computer Training Center,NULL
NULL,Ace Cosmetology and Barber Training Center,NULL
3327400,Acupuncture and Integrative Medicine College-Berkeley,NULL
134500,Adams State University,public
266600,Adelphi University,private
3103700,Adirondack Beauty School,private
286000,Adirondack Community College,public
3051900,Adler Graduate School,NULL
2068100,Adler University,NULL
223400,Adrian College,private
2520400,Adrian's College of Beauty Turlock,private
812900,Adult and Community Education-Hudson,private
2312000,Adult and Continuing Education-BCTS,private
3736300,Advance Beauty College,private
NULL,Advance Beauty Techs Academy,NULL
3757300,Advance Science Institute,private
3412300,Advanced Barber College and Hair Design,private
NULL,Advanced Beauty College,NULL
NULL,Advanced Career Institute,NULL
3786300,Advanced College,private
NULL,Advanced College of Cosmetology,NULL
NULL,Advanced Computing Institute,NULL
1148400,Advanced Institute of Hair Design-Glendale,private
2293600,Advanced Technical Centers,private
3127500,Advanced Technology Institute,private
3532400,Advanced Training Associates,private
NULL,Advanced Training Institute,NULL
NULL,Advanced Welding Institute,private
3115500,Adventist University of Health Sciences,private
2553000,Advertising Art Educational Services DBA School of Advertising Art,private
NULL,Aerosim Flight Academy,NULL
NULL,Aesthetic Science Institute,NULL
3097200,Aesthetics Institute of Cosmetology,private
154200,Agnes Scott College,private
